id,name,status,species,gender
21,Cosmo Beth С137,Alive,Human,Female
20,Ants in my Eyes Johnson,unknown,Human,Human with ants in his eyes
19,Antenna Rick,unknown,Human,Human with antennae
18,Antenna Morty,Alive,Human,Human with antennae
17,Annie,Alive,Human,Female
16,Amish Cyborg,Dead,Alien,Parasite
15,Alien Rick,unknown,Alien,Male
14,Alien Morty,unknown,Alien,Male
13,Alien Googah,unknown,Alien,unknown
11,Albert Einstein,Dead,Human,Male
10,Alan Rails,Dead,Human,Superhuman (Ghost trains summoner)
9,Agency Director,Dead,Human,Male
8,Adjudicator Rick,Dead,Human,Male
7,Abradolf Lincler,unknown,Human,Genetic experiment
6,Abadango Cluster Princess,Alive,Alien,Female
5,Jerry Smith,Alive,Human,Male
4,Beth Smith,Alive,Human,Female
3,Summer Smith,Alive,Human,Female
2,Morty Smith,Alive,Human,Male
1,Rick Sanchez,Alive,Human,Male
